Region Code,Timestamp (Hour Ending),Wind Generation (MWh),Solar Generation (MWh),Hydro Generation (MWh),Other Generation (MWh),Petroleum Generation (MWh),Natural gas Generation (MWh),Coal Generation (MWh),Nuclear Generation (MWh)
NW,5/27/2022 11 p.m. PDT,6583,-1,17211,856,59,8155,9567,1155
NW,5/28/2022 12 a.m. PDT,6483,-2,16039,835,59,7351,9146,1155
NW,5/28/2022 1 a.m. PDT,5278,-1,16042,847,60,6593,6835,1156
NW,5/28/2022 2 a.m. PDT,4704,-1,15665,840,60,6271,6779,1156
NW,5/28/2022 3 a.m. PDT,4245,-4,15909,857,59,5971,6743,1156
NW,5/28/2022 4 a.m. PDT,3784,-1,16212,870,58,5776,6700,1157
NW,5/28/2022 5 a.m. PDT,3546,4,16793,879,60,5606,6960,1157
NW,5/28/2022 6 a.m. PDT,3304,114,17310,879,60,5489,7162,1157
NW,5/28/2022 7 a.m. PDT,2775,937,18158,882,60,5243,7007,1157
NW,5/28/2022 8 a.m. PDT,2411,2343,17989,888,59,4542,7056,1158
NW,5/28/2022 9 a.m. PDT,2412,3414,18079,909,58,4461,5982,1156
NW,5/28/2022 10 a.m. PDT,2889,3842,17888,964,60,4077,4883,1155
NW,5/28/2022 11 a.m. PDT,3897,3966,17976,969,59,3978,4104,1152
NW,5/28/2022 12 p.m. PDT,4686,4098,17876,904,58,4090,4159,1151
NW,5/28/2022 1 p.m. PDT,5027,4159,17664,908,60,4262,4078,1151
NW,5/28/2022 2 p.m. PDT,5259,3945,17633,886,57,4578,4012,1151
NW,5/28/2022 3 p.m. PDT,5369,3973,17574,885,59,4660,4010,1151
NW,5/28/2022 4 p.m. PDT,5866,3730,17791,879,59,5009,4352,1151
NW,5/28/2022 5 p.m. PDT,5941,3274,17849,885,60,5551,4571,1149
NW,5/28/2022 6 p.m. PDT,5787,2685,18929,888,59,6041,5004,1149
NW,5/28/2022 7 p.m. PDT,5208,1313,20414,939,60,6888,6344,1149
NW,5/28/2022 8 p.m. PDT,4819,182,20662,927,60,7169,7133,1150
NW,5/28/2022 9 p.m. PDT,4905,1,20905,901,60,6858,7153,1149
NW,5/28/2022 10 p.m. PDT,5178,-2,20427,855,59,6403,6751,1149
NW,5/28/2022 11 p.m. PDT,5225,-2,18755,882,60,6236,6298,1149
NW,5/29/2022 12 a.m. PDT,4845,-3,17466,890,59,6011,6643,1150
NW,5/29/2022 1 a.m. PDT,5546,-2,16901,934,60,5648,6309,1152
NW,5/29/2022 2 a.m. PDT,6164,-1,16299,894,59,5420,5990,1151
NW,5/29/2022 3 a.m. PDT,5969,-5,16117,901,59,5391,5819,1150
NW,5/29/2022 4 a.m. PDT,6134,-2,16042,959,58,5187,5563,1150
NW,5/29/2022 5 a.m. PDT,6430,2,16014,913,60,5167,5367,1150
